Name,Country,State,Time Zone,Time Zone Designator,Airport Designator,Basins,Vendor(s),Sublocations,Main Operating Base,Internet Status,ID,Ground Support
Amarillo,United States,TX,CT,America/Chicago,KTDW,Permian,API,"01 Hangar,02 Hangar,03 Hangar,Cargo Received",No,Inactive,"4393825000003950050",No
Bakersfield,United States,CA,PT,America/Los_Angeles,KBFL,"San Joaquin,Los Angeles",KCSI,"01 Hangar,02 Hangar,03 Hangar,Cargo Received",Yes,Inactive,"4393825000000154003",No
Baton Rouge,United States,LA,CT,America/Chicago,KHDC,Haynesville,API,"01 Hangar,02 Hangar,03 Hangar,04 Hangar,Cargo Received",No,Inactive,"4393825000002075031",No
Bloomington,United States,IL,CT,America/Chicago,KBMI,Illinois,"KCSI,API","01 Hangar,02 Hangar,03 Hangar,04 Hangar,Cargo Received",No,Inactive,"4393825000000154047",No
Blythe,United States,CA,PT,America/Los_Angeles,KBLH,San Joaquin,Insight M,,No,Inactive,"4393825000000154007",No
Byron,United States,CA,PT,America/Los_Angeles,C83,San Joaquin,Insight M,,No,Inactive,"4393825000000154011",No
Clinton,United States,OK,CT,America/Chicago,KCLK,"Anadarko,Arkoma",API,"01 Hangar,02 Hangar,03 Hangar,04 Hangar,Cargo Received",No,Inactive,"4393825000008453172",No
College Station,United States,TX,CT,America/Chicago,KCLL,Eagle Ford,API,"001 Hangar,002 Hangar,003 Hangar,004 Hangar,Cargo Received",No,Inactive,"4393825000004936023",No
Conway,United States,AR,CT,America/Chicago,KCXW,"Anadarko,Arkoma",API,"01 Hangar,02 Hangar,03 Hangar,04 Hangar,Cargo Received",No,Inactive,"4393825000009166034",No
Corpus Christi,United States,TX,CT,America/Chicago,KCRP,Eagle Ford,API,"01 Hangar,02 Hangar,03 Hangar,04 Hangar,Cargo Received",No,Inactive,"4393825000002041019",No
Dallas,United States,TX,CT,America/Chicago,KDAL,Barnett,"KCSI,API","01  Hangar,02 Hangar,03 Hangar,04 Hangar,05  Hangar,Cargo Received",No,Inactive,"4393825000000154015",No
Denton,United States,TX,CT,America/Chicago,KDTO,Barnett,"KCSI,API","01 Hangar,02 Hangar,03 Hangar,04 Hangar,05 Hangar,06 Hangar,Cargo Received,01 Upload Station,02 Upload Station,03 Upload Station,04 Upload Station,05 Upload Station",No,Active,"4393825000001486041",No
Edinburg,United States,TX,CT,America/Chicago,KEBG,Eagle Ford,API,"01 Hangar,02 Hangar,03 Hangar,04 Hangar,Cargo Received",No,Inactive,"4393825000003711023",No
Edmonton,Canada,,MT,America/Denver,CYEG,Alberta,EnviroTech,"01 Hangar,02 Hangar,03 Hangar,04 Hangar,Cargo Received",No,Inactive,"4393825000000154023",No
Enid,United States,OK,CT,America/Chicago,KWDG,Anadarko,"KCSI,API","01 Hangar,02 Hangar,03 Hangar,04 Hangar,05 Hangar,06 Hangar,07 Hangar,08 Hangar,Cargo Received",No,Inactive,"4393825000000154027",No
Farmington,United States,NM,MT,America/Denver,KFMN,San Juan,"KCSI,API","01 Hangar,02 Hangar,Cargo Received,03 Hangar,04 Hangar",No,Inactive,"4393825000000154031",No
Feira de Santana,Brazil,,BRT,America/Sao_Paulo,SDIY,Brazil,SAI,,No,Inactive,"4393825000008478020",No
Fort Smith,United States,AR,CT,America/Chicago,KFSM,Anadarko,API,"01 Hangar,02 Hangar,03 Hangar,04 Hangar,Cargo Received",No,Inactive,"4393825000003731023",No
